subject,body,category,priority,channel
I need a refund ASAP,I'm not sure who to contact so I'm trying here. Requesting refund for services not rendered. The feature I paid for was unavailable throughout the month. Regards.,Refund Request,High,Email
Refund not received after 2 weeks,Following up again as I haven't heard back. I bought an annual plan but realized it's not suitable for my team. I'd like a full reimbursement within the cancellation window.,Refund Request,High,Chat
Magic link login not arriving,Honestly this is really frustrating. I can't remember which email I registered with. Can you look up my account by my name or phone number?,Login Issue,Urgent,Chat
Sync is failing with error code,I hope you can assist me quickly. The dropdown in the user settings panel disappears the moment I click it. I can't select anything. Please respond ASAP.,Bug Report,Medium,Email
Application grinding to a halt,I'd appreciate a quick response. Performance has noticeably declined since the update you pushed two days ago. Everything feels sluggish. Best.,Performance Issue,High,Web Form
Account accessed from another country,Following up again as I haven't heard back. Emails are going out from my account that I did not send. Someone has access to my email integration. Thank you for your time.,Security Concern,Urgent,Web Form
Duplicate payment on my credit card,I can't add my new Visa card to the billing section. The form keeps rejecting it.,Payment Problem,Urgent,Web Form
App crashes on startup,I hope you can assist me quickly. Images fail to upload after the progress bar hits 50%. The upload just stops and shows a vague error.,Bug Report,High,Email
Mobile app crashes on iOS 17,My dashboard data is completely blank even though I can see records in the backend. Something is broken. Please respond ASAP.,Bug Report,High,Web Form
Request: email digest summary,Please treat this as a high priority. Could you add a bulk export feature? Exporting records one at a time is very tedious. Best.,Feature Request,Medium,Web Form
Browser extension crashing,"Whenever I try to save my project settings, I get an error message and nothing saves. Looking forward to a resolution.",Bug Report,High,Chat
I need a refund ASAP,I cancelled my order three days ago but the money hasn't been returned to my account. Can you please process the reimbursement? Thanks.,Refund Request,High,Chat
Response time has tripled,I hope you can assist me quickly. The search function is very slow. It takes up to 15 seconds to return results for a simple query. I appreciate your help.,Performance Issue,High,Email
App is extremely slow today,I'd appreciate a quick response. The whole platform has ground to a halt. Clicking anything results in a spinning loader that never resolves. Thanks.,Performance Issue,High,Chat
Reimbursement for unused subscription days,I'd appreciate a quick response. I never received the product I paid for. Please issue a full refund as soon as possible. Best.,Refund Request,High,Email
Security audit raised concerns about your platform,Honestly this is really frustrating. Urgent: our entire organization account appears to have been accessed by an unknown party. Please escalate. Regards.,Security Concern,Urgent,Chat
Receiving phishing emails claiming to be from you,I've been a loyal customer and this is unacceptable. I accidentally exposed my API key in a public repo. Please revoke it immediately and issue a new one.,Security Concern,Urgent,Web Form
My payment method isn't being accepted,I'd appreciate a quick response. I used PayPal at checkout and it shows as paid but my account here is still locked. Regards.,Payment Problem,Medium,Web Form
Billing cycle confusion – wrong amount charged,My payment went through on my bank's end but the system says it failed and my account isn't activated. Please fix this. I appreciate your help.,Payment Problem,Medium,Email
Unable to sign in after password change,I'm very disappointed with the service. The verification email for new device login is not coming through. I need access right now. I appreciate your help.,Login Issue,Urgent,Web Form
Still waiting on my refund,Honestly this is really frustrating. I bought an annual plan but realized it's not suitable for my team. I'd like a full reimbursement within the cancellation window.,Refund Request,High,Social Media
